Source_ID	Source_Name	Target_ID	Target_Name	Interaction
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f8000000006e9ac99		peers
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f8000000007606929		peers
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f800000000aab4f9b		peers
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f800000000aab4fde		peers
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f80000000002f37e7	Robert Darwin	parents
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f80000000072b2a3e	Susannah Darwin	parents
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f80000000060b9e25		sibling_s
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f80000000002f19fe	Horace Darwin	children
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f800000000aa6f211	William Erasmus Darwin	children
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f80000000002f4cb5	Anne Darwin	children
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f8000000000335b92	Etty Darwin	children
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f800000000aa85f11	Mary Eleanor Darwin	children
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f800000000aa85f17	Elizabeth Darwin	children
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f80000000002f1a09	Francis Darwin	children
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f800000000028b7c6	Leonard Darwin	children
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f80000000002f3ad8	Charles Waring Darwin	children
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f80000000002c7db1	George Darwin	children
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f800000001fd5791d		spouse_s
#9202a8c04000641f800000000000cb7c	Charles Darwin	#9202a8c04000641f800000000462da5a	Adam Sedgwick	advisors
#9202a8c04000641f80000000002f37e7	Robert Darwin	#9202a8c04000641f80000000000142ec	Erasmus Darwin	parents
#9202a8c04000641f80000000002f37e7	Robert Darwin	#9202a8c04000641f800000000584a06a	Mary Howard	parents
#9202a8c04000641f80000000002f37e7	Robert Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	children
#9202a8c04000641f80000000002f37e7	Robert Darwin	#9202a8c04000641f800000000074fb61	Erasmus Alvey Darwin	children
#9202a8c04000641f80000000002f37e7	Robert Darwin	#9202a8c04000641f800000000b5d2031		spouse_s
#9202a8c04000641f80000000072b2a3e	Susannah Darwin	#9202a8c04000641f80000000000213c3	Josiah Wedgwood	parents
#9202a8c04000641f80000000072b2a3e	Susannah Darwin	#9202a8c04000641f800000000584a031	Sarah Wedgwood	parents
#9202a8c04000641f80000000072b2a3e	Susannah Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	children
#9202a8c04000641f80000000072b2a3e	Susannah Darwin	#9202a8c04000641f800000000b5d2031		spouse_s
#9202a8c04000641f80000000002f19fe	Horace Darwin	#9202a8c04000641f800000000880fae7		peers
#9202a8c04000641f80000000002f19fe	Horace Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	parents
#9202a8c04000641f80000000002f19fe	Horace Darwin	#9202a8c04000641f80000000002f0de4	Emma Darwin	parents
#9202a8c04000641f800000000aa6f211	William Erasmus Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	parents
#9202a8c04000641f800000000aa6f211	William Erasmus Darwin	#9202a8c04000641f80000000002f0de4	Emma Darwin	parents
#9202a8c04000641f80000000002f4cb5	Anne Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	parents
#9202a8c04000641f8000000000335b92	Etty Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	parents
#9202a8c04000641f8000000000335b92	Etty Darwin	#9202a8c04000641f80000000002f0de4	Emma Darwin	parents
#9202a8c04000641f8000000000335b92	Etty Darwin	#9202a8c04000641f800000000b34e831		spouse_s
#9202a8c04000641f800000000aa85f11	Mary Eleanor Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	parents
#9202a8c04000641f800000000aa85f11	Mary Eleanor Darwin	#9202a8c04000641f80000000002f0de4	Emma Darwin	parents
#9202a8c04000641f800000000aa85f17	Elizabeth Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	parents
#9202a8c04000641f800000000aa85f17	Elizabeth Darwin	#9202a8c04000641f80000000002f0de4	Emma Darwin	parents
#9202a8c04000641f80000000002f1a09	Francis Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	parents
#9202a8c04000641f80000000002f1a09	Francis Darwin	#9202a8c04000641f80000000002f0de4	Emma Darwin	parents
#9202a8c04000641f80000000002f1a09	Francis Darwin	#9202a8c04000641f8000000000371dc1	Bernard Darwin	children
#9202a8c04000641f80000000002f1a09	Francis Darwin	#9202a8c04000641f8000000000371e34	Frances Cornford	children
#9202a8c04000641f80000000002f1a09	Francis Darwin	#9202a8c04000641f80000000204924ad		spouse_s
#9202a8c04000641f80000000002f1a09	Francis Darwin	#9202a8c04000641f800000002049b15b		spouse_s
#9202a8c04000641f80000000002f1a09	Francis Darwin	#9202a8c04000641f800000002049b167		spouse_s
#9202a8c04000641f800000000028b7c6	Leonard Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	parents
#9202a8c04000641f800000000028b7c6	Leonard Darwin	#9202a8c04000641f80000000002f0de4	Emma Darwin	parents
#9202a8c04000641f80000000002f3ad8	Charles Waring Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	parents
#9202a8c04000641f80000000002f3ad8	Charles Waring Darwin	#9202a8c04000641f80000000002f0de4	Emma Darwin	parents
#9202a8c04000641f80000000002c7db1	George Darwin	#9202a8c04000641f800000000000cb7c	Charles Darwin	parents
#9202a8c04000641f80000000002c7db1	George Darwin	#9202a8c04000641f80000000002f0de4	Emma Darwin	parents
#9202a8c04000641f80000000002c7db1	George Darwin	#9202a8c04000641f8000000005862a1f	Margaret Elizabeth Darwin	children
#9202a8c04000641f80000000002c7db1	George Darwin	#9202a8c04000641f8000000000371cd0	Gwen Raverat	children
#9202a8c04000641f80000000002c7db1	George Darwin	#9202a8c04000641f8000000000280c9d	Charles Galton Darwin	children
#9202a8c04000641f80000000002c7db1	George Darwin	#9202a8c04000641f80000000006e7a3b	Edward Routh	advisors
#9202a8c04000641f800000000462da5a	Adam Sedgwick	#9202a8c04000641f800000000000cb7c	Charles Darwin	advisees
#9202a8c04000641f800000000462da5a	Adam Sedgwick	#9202a8c04000641f800000000023fb40	William Hopkins	advisees
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f800000000584a078	Robert Darwin of Elston	parents
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f800000000584a07f	Elizabeth Hill	parents
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f800000000584a061		sibling_s
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f800000000b5d25e5		sibling_s
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f800000000b5d25f1		sibling_s
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f800000000b5d25fb		sibling_s
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f800000000b5d2605		sibling_s
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f800000000b5d260f		sibling_s
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f800000000090206e	Francis Sacheverel Darwin	children
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f80000000002f37e7	Robert Darwin	children
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f8000000013aaefee	Mary Parker	children
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f8000000013aaeff5	Susanna Parker	children
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f8000000013aaeffd	Erasmus Darwin the Younger	children
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f8000000013aaf004	Harriott Maling	children
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f8000000013aaf00b	Frances Anne Violetta Darwin	children
#9202a8c04000641f80000000000142ec	Erasmus Darwin	#9202a8c04000641f8000000013aaf011	Emma Georgina Elizabeth Darwin	children
