Freebase_ID	Year_of_Birth	Name	Place_of_Birth
#9202a8c04000641f800000000000cb7c	1809-02-02	Charles Darwin	Shrewsbury
#9202a8c04000641f800000000074fb61	1804-12-29	Erasmus Alvey Darwin	
#9202a8c04000641f8000000000005917	1823-01-08	Alfred Russel Wallace	Llanbadoc
#9202a8c04000641f80000000002ff2cf	1805-04-23	William Darwin Fox	Derbyshire
#9202a8c04000641f80000000002f37e7	1766-05-30	Robert Darwin	Lichfield
#9202a8c04000641f80000000072b2a3e	1765	Susannah Darwin	
#9202a8c04000641f800000000462da5a	1785-03-22	Adam Sedgwick	Dent
#9202a8c04000641f80000000002f19fe	1851-05-13	Horace Darwin	London Borough of Bromley
#9202a8c04000641f800000000aa6f211	1839-12-27	William Erasmus Darwin	
#9202a8c04000641f80000000002f4cb5	1841-03-02	Anne Darwin	
#9202a8c04000641f8000000000335b92	1843-09-25	Etty Darwin	Down House
#9202a8c04000641f800000000aa85f11		Mary Eleanor Darwin	
#9202a8c04000641f800000000aa85f17		Elizabeth Darwin	
#9202a8c04000641f80000000002f1a09	1848-08-16	Francis Darwin	Down House
#9202a8c04000641f800000000028b7c6	1850-01-15	Leonard Darwin	London Borough of Bromley
#9202a8c04000641f80000000002f3ad8	1856-12-06	Charles Waring Darwin	Down House
#9202a8c04000641f80000000002c7db1	1845-07-09	George Darwin	Down House
#9202a8c04000641f800000000016a9fc	1802-06-12	Harriet Martineau	Norwich
#9202a8c04000641f8000000006e9ad03		Fanny Sims	
#9202a8c04000641f8000000000010d9a	1797-11-14	Charles Lyell	
#9202a8c04000641f80000000003666bd	1817-09-10	Richard Spruce	England
#9202a8c04000641f8000000006e9ac1b		Annie Mitten	
#9202a8c04000641f8000000006e9ac0a		Thomas Vere Wallace	
#9202a8c04000641f8000000006e9ac11		Mary Anne Greenell	
#9202a8c04000641f8000000006e9ac26		Herbert Wallace	
#9202a8c04000641f8000000006e9ac50		Violet Wallace	
#9202a8c04000641f8000000006e9ac57	1871	William Wallace	
#9202a8c04000641f80000000000142ec	1731-12-12	Erasmus Darwin	Newark-on-Trent
#9202a8c04000641f800000000584a06a	1740	Mary Howard	
#9202a8c04000641f80000000000213c3	1730-07-12	Josiah Wedgwood	Burslem
#9202a8c04000641f800000000584a031		Sarah Wedgwood	
#9202a8c04000641f800000000023fb40	1793-02-02	William Hopkins	Kingston on Soar
#9202a8c04000641f80000000002f0de4	1808-05-02	Emma Darwin	
#9202a8c04000641f8000000008021f40	1832-01-06	Richard Buckley Litchfield	
#9202a8c04000641f8000000000b4e5ae	1864	Florence Henrietta Darwin	
#9202a8c04000641f800000000aaaf4c0		Amy Ruck	
#9202a8c04000641f8000000000371dc1	1876-09-07	Bernard Darwin	
#9202a8c04000641f8000000000371e34	1886	Frances Cornford	
#9202a8c04000641f80000000006e7a3b	1831-01-20	Edward Routh	Québec
#9202a8c04000641f8000000005862a1f		Margaret Elizabeth Darwin	
#9202a8c04000641f8000000000371cd0	1885-08-26	Gwen Raverat	
#9202a8c04000641f8000000000280c9d	1887-12-18	Charles Galton Darwin	Cambridge
#9202a8c04000641f80000000003d01dc	1807-10-08	Harriet Taylor Mill	London
#9202a8c04000641f800000000003dc6c	1766-02-13	Thomas Malthus	Surrey
#9202a8c04000641f800000000001fdec	1806-05-20	John Stuart Mill	Pentonville
#9202a8c04000641f8000000000014db6	1806-03-06	Elizabeth Barrett Browning	Durham
#9202a8c04000641f80000000000ac06a	1820-05-12	Florence Nightingale	Florence
#9202a8c04000641f800000000000f203	1816-04-21	Charlotte Brontë	Thornton, Bradford
#9202a8c04000641f8000000000c292bb	1724-10-17	Robert Waring Darwin of Elston	Newark-on-Trent
#9202a8c04000641f800000000b5d2610		William Alvey Darwin	
#9202a8c04000641f800000000584a0d0		Elizabeth Pole	
#9202a8c04000641f800000000584a078	1682-08-12	Robert Darwin of Elston	
#9202a8c04000641f800000000584a07f	1702	Elizabeth Hill	
#9202a8c04000641f800000000090206e	1786-06-17	Francis Sacheverel Darwin	
#9202a8c04000641f8000000013aaefee	1774	Mary Parker	
#9202a8c04000641f8000000013aaeff5	1772	Susanna Parker	
#9202a8c04000641f8000000013aaeffd	1759	Erasmus Darwin the Younger	
#9202a8c04000641f8000000013aaf004	1790	Harriott Maling	
#9202a8c04000641f8000000013aaf00b		Frances Anne Violetta Darwin	
#9202a8c04000641f8000000013aaf011	1784	Emma Georgina Elizabeth Darwin	
#9202a8c04000641f8000000013aaf018	1789	Henry Darwin	
#9202a8c04000641f8000000013aaf01f		Edward Darwin	
#9202a8c04000641f800000000beafac0	1758	Charles Darwin	
#9202a8c04000641f8000000013aaf026	1787	John Darwin	
#9202a8c04000641f8000000000633633	1720-12-01	Charles Howard, 10th Duke of Norfolk	
#9202a8c04000641f80000000009f44e4	1716	Thomas Wedgwood IV	
#9202a8c04000641f800000000069981e	1685	Thomas Wedgwood III	
#9202a8c04000641f800000000584a04f		Mary Wedgwood	
#9202a8c04000641f800000000037027d	1769-04-03	Josiah Wedgwood II	
#9202a8c04000641f80000000009c255f	1771-05-14	Thomas Wedgwood	
#9202a8c04000641f80000000009f4d9c	1766	John Wedgwood	
#9202a8c04000641f8000000000020c93	1831-06-13	James Clerk Maxwell	Edinburgh
#9202a8c04000641f8000000000040cd5	1824-06-26	William Thomson, 1st Baron Kelvin	Belfast
#9202a8c04000641f8000000000060b3f	1822-02-16	Francis Galton	Birmingham
#9202a8c04000641f8000000000169655	1819-08-13	George Gabriel Stokes	Skreen
#9202a8c04000641f80000000001c96f0	1821-08-16	Arthur Cayley	Richmond upon Thames
#9202a8c04000641f80000000083a3f5b	1808	Philip Kelland	Dunster
#9202a8c04000641f80000000001936fc	1850-05-28	Frederic William Maitland	London
#9202a8c04000641f8000000000bea175	1871	Elinor Darwin	
#9202a8c04000641f8000000000bdc596	1908-08-20	Ursula Mommens	
#9202a8c04000641f8000000000bdc166	1910-05-07	Robin Darwin	
#9202a8c04000641f800000000faf47bc		Nicola Mary Elizabeth Darwin	
#9202a8c04000641f800000000040c4e1	1915-12-27	John Cornford	
#9202a8c04000641f8000000008ea38e0	1917	Christopher Cornford	
#9202a8c04000641f800000000faf5878		Clare Cornford	
#9202a8c04000641f800000000000585b	1806-06-27	Augustus De Morgan	Madras Presidency
#9202a8c04000641f800000000002524a	1842-11-12	John William Strutt	Maldon
#9202a8c04000641f800000000008191e	1856-12-18	Joseph John Thomson	Cheetham Hill
#9202a8c04000641f8000000000334a81	1887-03-25	Geoffrey Keynes	Cambridge
#9202a8c04000641f8000000000373642	1919-08-14	Richard Keynes	
#9202a8c04000641f8000000000014cf7	1871-08-30	Ernest Rutherford	Brightwater
#9202a8c04000641f800000000002a7a0	1885-10-07	Niels Henrik David Bohr	Copenhagen
#9202a8c04000641f800000000013bc99	1773-04-06	James Mill	Angus
#9202a8c04000641f80000000000153db	1818-07-30	Emily Brontë	Thornton, Bradford
#9202a8c04000641f8000000018ec1747	1814-04-23	Maria Brontë	
#9202a8c04000641f80000000003769ae	1817-06-26	Branwell Brontë	
#9202a8c04000641f800000001e0842c9	1815-02-08	Elizabeth Brontë	Hartshead
#9202a8c04000641f8000000000006ccc	1820-01-17	Anne Brontë	Thornton, Bradford
#9202a8c04000641f800000000074f740	1777-03-17	Patrick Brontë	Rathfriland
#9202a8c04000641f8000000015362af2	1783-04-15	Maria Branwell	Cornwall
#9202a8c04000641f8000000000bc0fda	1700-08-27	Charles Colyear, 2nd Earl of Portmore	
#9202a8c04000641f800000000b5d25eb	1725-09-15	Elizabeth Darwin	
#9202a8c04000641f800000000b5d25fc	1729-04-10	Susannah Darwin	
#9202a8c04000641f800000000b5d2606	1730-09-28	John Darwin	
#9202a8c04000641f80000000003723b7	1783	Samuel Tertius Galton	
#9202a8c04000641f800000000faecd7f	1670	Mary Aylward	
#9202a8c04000641f800000000faecd87	1668	Henry Charles Howard	
#9202a8c04000641f8000000000633655	1746-03-15	Charles Howard, 11th Duke of Norfolk	
#9202a8c04000641f8000000013aaef02		Thomas Wedgwood II	
#9202a8c04000641f8000000013aaef08		Mary Leigh of Burslem	
#9202a8c04000641f80000000009f46bf	1721	John Wedgwood	
#9202a8c04000641f800000000034fa97	1852-09-09	John Henry Poynting	Monton
#9202a8c04000641f8000000006bb6de8	1851-03-08	George Chrystal	Oldmeldrum
#9202a8c04000641f8000000000471057	1849-11-27	Horace Lamb	Stockport
#9202a8c04000641f8000000000090593	1818-12-24	James Prescott Joule	Salford
#9202a8c04000641f8000000000ba65dc	1867-09-09	Robert Mond	Farnworth
#9202a8c04000641f800000000012f628	1857-03-27	Karl Pearson	London
#9202a8c04000641f80000000001611a7	1791-04-09	George Peacock	Denton
#9202a8c04000641f80000000045d7e49	1866-07-03	H. F. Baker	Cambridge
#9202a8c04000641f80000000003e4101	1889	Fredegond Shove	
#9202a8c04000641f8000000000b292d1	1910-02-20	Julian Trevelyan	
#9202a8c04000641f8000000000bfac38	1922-05-31	Norman Mommens	
#9202a8c04000641f800000000f1647f4	1943	Philip Trevelyan	
#9202a8c04000641f800000000faf491a		Yvonne Darby	
#9202a8c04000641f800000000faf4926		Ginette Hewitt	
#9202a8c04000641f80000000003e8346	1874-02-27	F. M. Cornford	Eastbourne
#9202a8c04000641f8000000005743a16	1950	Matthew Chapman	Cambridge
#9202a8c04000641f800000000016110a	1794-05-24	William Whewell	Lancaster
#9202a8c04000641f800000000037ff3c	1839-11-16	William De Morgan	
#9202a8c04000641f8000000000162fe9	1835-09-01	William Stanley Jevons	Liverpool
#9202a8c04000641f8000000000181052	1814-09-03	James Joseph Sylvester	London
#9202a8c04000641f8000000000d18ba0	1875-08-28	Robert John Strutt, 4th Baron Rayleigh	
#9202a8c04000641f80000000001b2396	1858-11-30	Jagadish Chandra Bose	Bikrampur
#9202a8c04000641f800000000032fb2b	1892-05-03	George Paget Thomson	Cambridge
#9202a8c04000641f8000000000075d3f	1882-12-11	Max Born	Wrocław
#9202a8c04000641f80000000001c1863	1890-03-31	William Lawrence Bragg	North Adelaide
#9202a8c04000641f800000000021ab76	1862-07-02	William Henry Bragg	Wigton
#9202a8c04000641f800000000021abac	1877-06-27	Charles Glover Barkla	Widnes
#9202a8c04000641f800000000021acb0	1892-09-06	Edward Victor Appleton	Bradford
#9202a8c04000641f800000000028bf97	1879-04-26	Owen Willans Richardson	Dewsbury
#9202a8c04000641f80000000002bece3	1869-02-14	Charles Thomson Rees Wilson	Midlothian
#9202a8c04000641f80000000002d9ccc	1886-03-07	Geoffrey Ingram Taylor	St John's Wood
#9202a8c04000641f800000000034706a	1877-09-01	Francis William Aston	Harborne
#9202a8c04000641f8000000000a1516a	1868-06-07	John Sealy Townsend	Galway
#9202a8c04000641f8000000000b119ad	1872	John Zeleny	
#9202a8c04000641f8000000006c0879c	1873-12-29	H. Stanley Allen	Bodmin
#9202a8c04000641f800000000906f9ae	1861-04-18	Lionel Robert Wilberforce	Munich
