ID_1	interaction	ID_2
#9202a8c04000641f8000000005c200da	(parents)	#9202a8c04000641f800000000008c2fc
#9202a8c04000641f80000000001a2120	(peers)	#9202a8c04000641f800000000003d069
#9202a8c04000641f800000000003d069	(peers)	#9202a8c04000641f80000000001a2120
#9202a8c04000641f8000000000280c9d	(children)	#9202a8c04000641f80000000002c7db1
#9202a8c04000641f8000000005c200da	(spouse_s)	#9202a8c04000641f800000000003d069
#9202a8c04000641f800000000008c2fc	(children)	#9202a8c04000641f8000000005c200da
#9202a8c04000641f80000000002c7db1	(parents)	#9202a8c04000641f8000000000280c9d
#9202a8c04000641f8000000000032ef1	(peers)	#9202a8c04000641f80000000001a2120
#9202a8c04000641f80000000001a2120	(peers)	#9202a8c04000641f8000000000032ef1
#9202a8c04000641f800000000002a7a0	(advisors)	#9202a8c04000641f8000000000280c9d
#9202a8c04000641f8000000000032ef1	(peers)	#9202a8c04000641f800000000002a7a0
#9202a8c04000641f800000000002a7a0	(peers)	#9202a8c04000641f8000000000032ef1
#9202a8c04000641f80000000002c7db1	(children)	#9202a8c04000641f800000000000cb7c
#9202a8c04000641f800000000003d069	(spouse_s)	#9202a8c04000641f8000000005c200da
#9202a8c04000641f800000000000cb7c	(parents)	#9202a8c04000641f80000000002c7db1
#9202a8c04000641f8000000000280c9d	(advisees)	#9202a8c04000641f800000000002a7a0
