ID	Freebase_ID	Place_of_Birth	Year_of_Birth	Name	
9202a8c04000641f8000000000022162	9202a8c04000641f8000000000022162	Brno	1906	Kurt GÌ¦del
9202a8c04000641f800000000000cb7c	9202a8c04000641f800000000000cb7c	Shrewsbury	1809	Charles Darwin
9202a8c04000641f800000000004ba94	9202a8c04000641f800000000004ba94	Cambridge	1883	John Maynard Keynes
9202a8c04000641f800000000008c2fc	9202a8c04000641f800000000008c2fc	Boston	1970	Uma Thurman
9202a8c04000641f8000000005c200da	9202a8c04000641f8000000005c200da	Mexico City	1941	Nena von SchlebrÌ?gge
9202a8c04000641f800000000002a7a0	9202a8c04000641f800000000002a7a0	Copenhagen	1885	Niels Henrik David Bohr
9202a8c04000641f800000000006f022	9202a8c04000641f800000000006f022	Ronsdorf	1891	Rudolf Carnap
9202a8c04000641f800000000000417c	9202a8c04000641f800000000000417c	Ulm	1879	Albert Einstein
9202a8c04000641f8000000000334a81	9202a8c04000641f8000000000334a81	Cambridge	1887	Geoffrey Keynes
9202a8c04000641f8000000005862a1f	9202a8c04000641f8000000005862a1f	null	null	Margaret Elizabeth Darwin
9202a8c04000641f8000000000018ae1	9202a8c04000641f8000000000018ae1	Vienna	1899	Friedrich Hayek
9202a8c04000641f80000000001a2120	9202a8c04000641f80000000001a2120	Saint Paul	1915	John C. Lilly
9202a8c04000641f8000000000021dc6	9202a8c04000641f8000000000021dc6	Vienna	1902	Karl Popper
9202a8c04000641f80000000002c7db1	9202a8c04000641f80000000002c7db1	Down House	1845	George Darwin
9202a8c04000641f8000000000032ef1	9202a8c04000641f8000000000032ef1	Far Rockaway	1918	Richard Feynman
9202a8c04000641f800000000003d069	9202a8c04000641f800000000003d069	Springfield	1920	Timothy Leary
